height,weight
184,82
182,75
187,90
188,100
180,79
180,84
183,90
167,73
183,85
172,77
183,78
179,75
175,83
171,80
171,83
182,84
180,86
175,84
184,75
181,92
175,84
178,73
183,74
185,88
186,103
175,80
193,97
182,93
175,75
182,84
193,105
179,83
191,105
178,83
178,87
176,83
178,83
177,82
171,71
179,84
177,74
178,76
180,76
178,75
185,86
180,79
184,92
180,84
188,106
182,78
186,85
188,97
174,74
172,83
178,77
179,86
175,80
170,70
174,80
185,95
179,76
175,80
195,104
173,68
181,82
182,87
177,81
185,88
183,86
184,90
181,82
183,86
180,96
197,98
184,90
188,103
178,84
174,83
181,80
189,105
182,77
185,92
184,79
173,75
174,79
193,86
184,87
193,109
178,90
184,92
199,101
183,83
191,95
185,91
188,90
180,87
183,81
183,82
175,79
185,84
186,75
173,78
176,80
180,83
173,75
173,78
172,72
177,82
176,76
179,80
181,92
175,68
187,94
177,79
185,102
175,82
184,75
178,81
171,68
180,90
175,72
178,76
182,92
171,71
188,99
181,86
189,110
182,81
188,100
176,71
176,88
177,85
180,82
183,81
185,99
183,95
181,88
187,98
186,95
181,81
187,80
188,94
180,90
183,82
188,97
178,86
175,78
190,97
182,89
183,86
188,82
186,82
178,85
178,82
193,113
174,100
175,81
185,87
183,78
183,90
182,86
181,74
173,82
184,84
170,73
186,85
188,102
178,86
187,90
176,88
177,89
175,85
179,83
172,73
172,68
177,78
180,90
186,86
184,107
186,100
183,81
180,79
182,82
178,100
181,90
200,95
182,94
178,85
176,83
177,94
173,74
180,90
196,108
178,80
183,84
181,82
173,74
196,104
180,82
187,95
178,79
175,71
187,88
177,80
185,91
180,78
177,86
178,85
186,101
188,85
173,76
189,96
181,90
190,98
179,86
181,91
178,88
180,104
176,95
190,93
180,80
180,87
176,83
181,86
196,90
182,84
173,86
182,91
177,81
186,84
184,89
193,104
186,102
194,101
181,81
175,89
176,88
180,93
178,92
173,85
188,92
175,72
170,73
171,84
181,88
183,93
190,99
171,71
174,87
182,101
178,85
178,83
175,91
171,70
167,69
180,85
180,83
185,79
180,100
183,90
188,110
176,100
180,77
178,90
176,80
180,95
181,87
180,75
167,72
189,90
180,85
187,90
186,86
178,69
183,83
183,90
187,88
178,83
177,84
186,97
175,75
181,98
180,85
178,82
183,89
181,95
178,85
184,88
184,85
177,85
167,72
185,100
179,80
180,87
193,93
177,80
183,95
179,95
180,84
180,89
190,95
181,95
185,90
188,92
177,70
184,90
186,104
180,90
185,85
181,88
177,84
180,77
179,79
181,90
176,77
184,88
185,108
182,100
177,92
177,82
176,75
182,90
180,90
179,83
172,78
184,88
174,76
185,83
183,90
175,77
170,76
187,86
182,90
180,85
183,83
181,73
175,80
185,90
179,88
180,85
178,83
187,92
173,80
182,83
175,80
182,85
190,90
188,94
178,86
183,104
177,74
196,86
179,80
180,85
182,77
190,86
175,80
182,87
178,80
188,102
178,85
186,88
178,87
179,90
180,83
176,86
176,83
175,85
180,87
174,83
178,93
175,77
182,90
180,85
177,78
177,77
167,68
180,85
178,82
176,88
172,85
185,88
182,85
174,85
185,97
180,83
188,96
174,78
178,88
179,81
188,100
180,82
179,93
189,85
185,88
173,78
188,95
189,95
171,78
179,83
186,88
181,77
178,80
172,68
183,83
174,76
180,74
178,84
182,80
186,92
177,77
184,80
182,88
178,80
181,74
179,85
182,93
178,96
181,91
179,85
173,83
184,90
198,106
188,107
190,90
182,85
181,80
196,99
182,86
180,88
182,87
175,87
179,81
182,103
178,87
179,80
180,86
167,71
181,83
181,86
175,82
186,94
181,84
174,76
171,89
185,106
176,75
180,76
170,67
167,69
173,85
180,83
178,84
186,88
180,90
172,85
182,73
172,75
187,100
174,80
190,104
181,83
186,80
177,85
169,75
183,88
190,85
190,85
181,87
178,85
172,80
182,90
183,90
175,83
180,94
186,90
175,80
175,78
170,78
174,75
203,112
182,90
183,88
178,84
175,76
189,86
178,80
182,90
192,87
179,86
180,87
177,78
183,83
191,92
190,103
196,106
178,98
172,81
181,86
183,99
176,80
175,76
180,86
180,82
180,95
178,77
188,95
180,88
176,80
175,78
176,80
180,114
185,98
183,90
171,72
186,90
167,70
172,75
181,80
180,85
182,77
185,80
171,83
178,72
183,97
186,98
185,77
189,91
174,74
180,77
185,88
178,82
185,85
182,77
188,97
186,87
180,76
193,105
178,80
183,91
189,90
178,85
185,81
179,86
177,77
185,92
190,87
185,85
176,80
184,88
177,86
178,83
185,82
180,93
173,72
172,82
175,77
183,83
172,70
180,89
190,88
167,80
183,85
178,76
181,98
178,85
185,105
174,82
172,96
172,75
168,69
182,90
171,75
175,79
171,74
182,86
174,78
173,74
193,113
180,79
177,95
185,83
180,73
185,86
185,90
181,79
180,74
186,78
188,108
181,75
176,82
180,75
182,98
187,108
178,73
178,85
180,93
184,83
198,101
184,87
176,83
180,90
181,74
182,83
187,94
188,92
179,80
188,93
196,106
188,86
185,91
196,91
178,69
176,100
182,83
193,104
186,92
185,94
183,84
183,89
182,76
188,74
168,78
172,70
180,76
175,77
185,87
183,85
173,74
185,88
170,87
175,80
174,85
174,82
180,76
187,84
176,70
175,68
178,86
180,86
172,76
174,66
180,70
187,95
179,83
172,73
181,86
169,71
188,117
171,83
186,73
183,88
175,80
175,80
187,90
187,95
179,80
177,86
182,90
180,78
194,95
184,84
175,95
194,93
185,85
176,86
182,87
187,90
194,88
176,82
175,83
180,77
191,90
190,88
180,80
175,84
175,75
181,87
177,82
177,90
181,85
171,73
196,114
193,90
198,116
180,85
176,80
192,96
181,89
178,81
178,75
186,95
182,80
175,84
173,77
187,84
184,96
178,86
185,89
182,88
181,92
179,88
175,79
173,86
181,87
173,78
167,71
185,99
178,77
178,75
184,98
178,86
187,91
185,90
177,82
182,83
185,97
171,75
187,90
172,74
174,90
174,71
182,91
171,86
180,81
183,82
183,86
171,65
177,86
192,96
184,81
177,76
180,70
191,96
190,105
180,88
177,85
177,76
176,87
182,83
175,77
183,88
173,83
180,86
179,86
186,92
175,70
177,90
173,86
181,82
183,93
191,84
173,78
180,83
180,85
180,85
193,102
188,78
179,81
173,100
176,77
185,97
173,80
170,85
173,85
174,90
178,78
180,86
176,103
170,74
177,82
179,75
176,112
179,80
180,86
188,89
178,80
179,87
190,100
180,84
178,78
175,102
177,85
179,76
188,98
177,74
175,80
180,82
177,95
175,77
188,90
180,97
174,80
174,80
182,87
