height (cm),weight (kg)
176.0,146.0
176.7,96.5
174.0,142.2
168.5,97.5
187.0,140.0
182.0,151.4
175.0,178.5
182.0,187.0
177.0,126.4
178.0,172.0
168.0,102.3
170.6,137.0
190.0,157.2
179.6,141.9
173.0,125.8
194.0,131.3
191.0,154.0
180.5,136.7
170.0,129.1
177.0,134.1
176.0,135.0
175.0,171.6
182.0,141.4
173.0,125.7
173.0,124.5
185.5,168.5
172.5,144.0
167.0,165.3
189.6,159.3
178.0,142.0
180.0,173.4
183.0,143.0
180.0,137.1
190.0,140.0
183.0,127.0
174.0,121.0
172.3,132.6
180.0,177.0
169.0,139.3
185.0,139.4
188.0,129.1
180.0,130.9
173.5,123.6
171.0,195.8
184.0,152.0
171.0,145.4
176.2,137.5
181.0,164.6
187.0,126.0
170.0,101.0
177.7,144.9
182.0,127.8
183.6,142.1
190.0,148.0
185.3,121.1
183.0,167.0
180.0,154.0
169.8,108.4
171.0,108.0
175.0,134.9
175.5,130.1
175.5,121.8
174.0,166.0
171.0,133.8
179.5,117.8
177.0,130.9
181.0,137.3
177.5,149.8
189.0,177.0
181.0,136.9
181.0,143.0
177.0,228.0
176.5,145.8
192.0,199.0
186.0,183.0
177.0,157.4
181.1,144.0
167.0,83.3
174.0,70.0
174.8,158.0
186.0,170.7
178.1,162.8
183.0,134.9
177.0,163.0
177.3,145.0
175.0,183.0
167.0,142.0
176.0,149.5
188.0,155.0
180.0,107.6
178.5,124.7
167.0,94.0
178.0,134.0
175.0,129.5
172.0,121.2
185.0,141.5
185.0,159.7
183.0,150.0
168.0,82.5
176.0,120.3
185.0,105.6
173.9,87.8
180.8,130.9
172.0,137.5
180.0,240.0
188.0,131.5
179.0,137.0
185.0,181.0
178.0,86.8
174.0,125.9
186.0,136.5
186.0,153.7
175.9,107.9
186.0,150.5
170.9,122.2
179.5,146.0
184.0,133.8
172.0,120.4
174.0,123.0
175.0,114.3
177.0,163.0
183.0,115.4
172.0,150.4
179.0,166.0
174.0,132.3
187.0,132.0
171.0,185.6
170.0,116.2
181.4,132.7
193.1,154.6
171.2,103.7
170.0,129.8
184.3,152.0
178.0,128.8
169.0,143.8
178.0,168.0
167.0,114.5
188.0,139.7
179.0,125.9
167.0,99.8
184.0,158.0
166.0,119.2
180.5,163.8
172.5,150.0
172.5,119.2
173.6,147.7
187.0,157.0
174.0,141.8
175.0,103.5
176.0,111.0
186.5,140.1
177.9,139.0
173.0,114.0
180.0,122.2
176.0,162.4
180.0,136.6
182.0,143.0
167.0,152.0
174.0,135.2
179.0,118.1
175.0,139.8
180.5,130.7
177.0,119.8
180.0,159.0
180.0,137.1
186.0,189.0
168.5,124.7
180.0,145.0
182.0,150.0
175.0,127.0
183.0,123.9
178.0,105.6
197.0,137.0
170.5,115.5
185.0,168.0
170.5,136.6
185.0,155.0
188.0,160.4
177.2,159.0
183.0,145.0
171.0,170.5
169.1,125.0
173.0,127.1
174.5,121.6
180.0,130.4
176.2,149.0
178.5,138.0
179.0,153.3
182.1,94.1
167.0,135.5
166.0,78.9
194.0,171.9
172.2,144.3
170.0,125.1
174.9,135.8
182.0,153.6
173.0,106.0
172.3,131.1
187.0,145.4
173.0,146.0
180.0,158.0
179.0,151.0
180.0,145.4
191.3,140.8
167.0,112.2
190.0,122.8
175.0,204.8
168.1,159.0
173.7,118.9
178.2,117.9
183.5,158.0
177.5,112.7
165.0,93.9
190.5,149.5
168.5,104.3
181.0,150.7
183.0,180.1
176.0,164.0
177.0,95.0
183.0,145.0
178.0,133.0
174.7,95.0
180.3,158.7
170.0,107.4
180.5,153.5
174.5,108.1
182.0,198.0
174.5,117.4
178.0,164.0
178.5,107.3
178.0,126.0
175.0,130.0
180.0,180.3
175.0,101.0
176.0,131.0
167.0,109.6
175.5,133.0
189.0,183.0
179.0,141.0
175.0,147.7
177.0,165.0
174.0,166.3
180.2,134.5
176.0,94.0
181.0,133.5
184.0,155.5
184.0,165.7
178.4,147.8
181.1,160.1
166.0,123.7
173.9,111.2
177.0,104.0
169.8,99.8
182.5,111.5
187.0,177.0
186.0,142.7
170.9,140.0
170.0,124.2
191.0,165.0
174.4,111.7
175.0,131.6
184.0,146.0
179.0,168.1
183.0,120.1
174.0,122.0
184.6,132.2
191.0,165.0
179.0,166.7
171.0,189.9
179.5,166.2
174.5,115.9
175.0,110.8
174.5,169.2
167.0,105.0
186.0,171.0
179.0,112.0
176.0,147.0
175.0,162.0
166.0,100.8
168.5,130.2
171.5,155.0
173.0,146.1
171.0,143.9
178.0,135.5
187.0,145.0
171.1,84.6
177.6,145.0
181.5,158.0
183.0,136.3
174.7,137.0
177.2,127.4
181.4,134.7
184.0,138.5
179.0,148.0
180.0,156.7
184.0,152.0
171.0,81.9
183.5,151.7
181.0,142.0
173.3,108.6
185.0,149.0
184.0,163.0
186.0,181.5
165.0,102.9
172.0,141.3
185.0,185.0
172.0,94.4
178.0,119.0
183.5,159.4
176.0,110.0
191.0,153.7
171.3,119.7
177.5,144.0
180.0,188.9
179.5,148.8
181.2,145.2
177.5,148.5
178.0,125.0
175.0,169.2
183.5,150.3
187.0,130.3
181.0,137.0
186.0,135.2
183.0,143.9
173.2,117.9
168.0,126.6
185.0,208.0
177.0,123.6
185.0,164.0
177.0,119.0
169.2,104.0
186.8,127.9
187.0,150.0
191.0,166.2
165.5,108.1
168.0,105.0
181.0,127.7
176.1,92.5
167.0,109.7
179.0,196.6
184.0,200.0
174.0,125.8
178.0,160.0
169.0,155.0
173.0,125.0
177.1,126.8
172.0,110.0
195.0,207.0
180.0,128.4
183.5,150.6
178.0,132.0
181.5,142.5
170.5,167.2
181.5,130.9
175.4,121.7
178.0,124.0
172.0,127.1
169.0,134.0
172.1,166.8
192.0,148.0
175.0,159.0
173.0,109.0
177.0,144.7
171.0,130.3
180.4,98.8
170.0,99.7
169.0,120.0
182.0,113.7
183.2,144.9
175.6,164.0
183.2,144.2
181.5,154.0
175.0,139.5
189.0,200.0
178.0,101.0
183.0,144.8
176.1,140.3
179.1,131.7
191.0,181.0
193.0,227.0
177.0,135.7
175.0,147.0
183.5,143.3
174.0,141.8
178.0,140.5
175.3,104.7
167.0,87.4
166.0,167.0
177.0,141.0
176.1,118.3
170.0,101.7
176.0,103.0
167.0,124.5
171.0,89.0
182.0,133.0
185.0,132.5
178.0,117.4
173.6,154.4
178.0,141.6
176.0,136.5
167.0,95.0
200.0,170.0
175.5,124.4
169.0,100.0
183.0,148.8
186.0,120.1
167.0,67.4
174.0,144.9
185.0,122.0
188.5,121.3
180.0,159.0
175.0,158.8
191.0,137.0
179.0,164.4
183.0,192.0
168.0,118.0
189.0,173.0
185.0,126.0
167.0,79.5
174.0,130.4
181.1,115.6
171.5,156.3
170.3,84.3
189.5,136.3
176.0,130.3
168.0,123.0
174.0,127.2
170.0,120.0
185.6,126.5
191.5,124.5
175.5,126.4
180.0,134.5
180.0,168.2
189.0,139.9
172.0,103.0
189.0,168.0
181.0,176.8
184.0,174.0
189.0,150.0
179.0,172.0
183.8,129.0
177.5,114.3
169.8,78.1
191.0,199.0
183.5,154.1
175.0,186.6
183.5,189.3
171.1,92.3
184.0,145.2
181.0,121.9
186.0,180.0
193.0,187.0
173.5,117.7
185.0,158.0
179.1,132.2
182.1,140.0
185.0,170.8
184.0,198.0
177.9,132.3
192.0,164.0
177.4,112.5
193.0,170.0
183.8,127.5
181.5,165.1
176.6,157.2
170.5,137.9
184.5,140.2
175.0,121.0
186.0,173.8
177.5,116.5
180.0,155.0
191.0,167.0
174.0,150.0
189.2,147.8
184.0,171.0
176.0,119.8
184.5,128.2
173.0,127.9
177.1,82.1
179.0,138.9
168.5,101.8
173.0,128.4
181.0,151.0
185.1,161.6
167.0,82.8
168.0,134.0
182.0,165.0
178.5,203.5
178.0,138.0
178.0,237.0
175.0,162.7
170.0,93.7
181.0,135.0
179.8,110.1
176.5,127.1
177.0,94.3
190.0,136.0
181.0,138.0
167.0,83.9
177.0,116.0
182.0,145.0
185.0,141.0
182.0,123.3
168.0,101.8
181.0,161.0
183.0,140.0
176.0,108.0
172.0,158.1
173.0,106.3
183.5,135.4
181.4,127.5
176.0,147.8
168.1,105.9
180.0,135.5
181.0,145.5
188.4,145.5
173.0,189.3
192.0,182.0
185.0,159.0
187.0,175.0
183.0,133.0
181.0,170.3
171.5,122.1
182.0,128.3
173.0,101.0
184.0,158.0
179.5,150.4
176.7,138.9
173.5,125.8
184.0,123.5
177.1,163.5
172.0,150.6
179.5,123.7
183.0,145.5
172.0,117.0
183.0,129.2
187.3,150.5
190.0,248.2
190.0,174.0
182.0,156.0
197.0,165.5
170.0,99.6
173.8,175.0
188.0,153.0
166.0,136.0
179.0,166.0
182.5,196.5
187.0,182.0
175.1,109.8
175.0,135.7
176.0,151.9
175.0,179.2
173.0,148.0
182.0,130.0
181.0,138.0
179.0,113.6
186.4,139.0
197.0,151.5
184.0,134.0
187.0,143.0
170.0,140.3
183.2,124.5
184.0,196.0
181.0,161.0
176.0,141.3
174.5,148.5
173.0,120.8
180.5,188.3
180.0,191.0
180.0,194.0
172.0,122.6
175.0,117.3
181.0,148.2
179.0,130.2
186.4,123.2
180.0,122.7
169.0,149.0
178.0,135.3
173.0,100.1
184.5,144.9
170.0,75.0
186.0,159.8
172.0,96.0
173.0,132.0
175.8,125.6
186.0,141.0
169.0,88.4
183.9,175.2
168.0,124.9
183.1,120.1
177.0,104.2
184.5,166.6
176.0,155.0
174.5,125.5
182.0,135.5
173.8,131.1
183.0,135.0
178.5,193.4
171.5,94.4
176.1,132.6
168.0,100.1
181.0,123.0
185.2,163.5
176.0,175.0
180.1,151.6
182.0,121.0
184.0,166.0
174.0,157.9
171.0,67.0
177.5,150.4
185.0,168.0
175.0,149.2
